INE_NUM;municipio;población;total_censo;total_votantes;participación;PP;PSOE;IU;suma_derecha;suma_izquierda;porcentaje_derecha;porcentaje_izquierda
28160;Valdemorillo;7860;5874;4716;80,29;2345;1849;254;2345;2103;49,72;44,59
28161;Valdemoro;37498;28775;22631;78,65;10619;9470;1289;10619;10759;46,92;47,54
28162;Valdeolmos-Alalpardo;2010;1546;1294;83,70;726;460;49;726;509;56,11;39,34
28163;Valdepiélagos;335;288;240;83,33;106;111;11;106;122;44,17;50,83
28164;Valdetorres de Jarama;2592;2111;1667;78,97;787;706;77;787;783;47,21;46,97
28165;Valdilecha;2147;1468;1236;84,20;668;519;13;668;532;54,05;43,04
28166;Valverde de Alcalá;332;282;232;82,27;110;104;13;110;117;47,41;50,43
28167;Velilla de San Antonio;8760;6668;5368;80,50;2000;2605;496;2000;3101;37,26;57,77
28168;El Vellón;1215;919;749;81,50;399;303;19;399;322;53,27;42,99
28169;Venturada;1042;789;654;82,89;386;206;30;386;236;59,02;36,09
28170;Villaconejos;3039;2368;1705;72,00;585;817;263;585;1080;34,31;63,34
28171;Villa del Prado;4784;3513;2657;75,63;1476;1040;60;1476;1100;55,55;41,40
28172;Villalbilla;5854;5183;4333;83,60;2455;1487;163;2455;1650;56,66;38,08
28173;Villamanrique de Tajo;639;460;400;86,96;201;182;9;201;191;50,25;47,75
28174;Villamanta;1785;1402;1096;78,17;634;409;20;634;429;57,85;39,14
28175;Villamantilla;416;374;325;86,90;183;124;11;183;135;56,31;41,54
28176;Villanueva de la Cañada;12525;8204;6927;84,43;4513;1889;184;4513;2073;65,15;29,93
28177;Villanueva del Pardillo;7828;5762;4742;82,30;2519;1768;186;2519;1954;53,12;41,21
28178;Villanueva de Perales;939;730;603;82,60;304;240;36;304;276;50,41;45,77
28179;Villar del Olmo;1665;1213;951;78,40;499;361;48;499;409;52,47;43,01
28180;Villarejo de Salvanés;6022;4670;3875;82,98;1624;1996;127;1624;2123;41,91;54,79
28181;Villaviciosa de Odón;22094;18719;15566;83,16;9139;5025;626;9139;5651;58,71;36,30
28182;Villavieja del Lozoya;195;158;131;82,91;60;55;13;60;68;45,80;51,91
28183;Zarzalejo;1192;886;691;77,99;311;304;48;311;352;45,01;50,94
28901;Lozoyuela-Navas-Sieteiglesias;774;625;498;79,68;250;208;16;250;224;50,20;44,98
28902;Puentes Viejas;417;386;284;73,58;173;79;22;173;101;60,92;35,56
28903;Tres Cantos;38804;27047;23282;86,08;10865;9478;1708;10865;11186;46,67;48,05
