INE_NUM;municipio;población;total_censo;total_votantes;participación;UCD;PSOE;PCE;CDS;UN;ORT;suma_derecha;suma_izquierda;porcentaje_derecha;porcentaje_izquierda
28123;Rivas-Vaciamadrid;818;563;371;65,9;0;171;61;12;0;1;12;233;3,23;62,80
28124;Robledillo de la Jara;94;79;52;65,82;46;0;0;1;3;2;50;2;96,15;3,85
28125;Robledo de Chavela;1.584;1.136;922;81,16;552;231;36;68;25;1;645;268;69,96;29,07
28126;Robregordo;150;127;73;57,48;0;26;5;1;2;0;3;31;4,11;42,47
28127;Las Rozas de Madrid;8.957;6.224;4.420;71,02;1.453;1.678;493;376;207;55;2.036;2.226;46,06;50,36
28128;Rozas de Puerto Real;400;304;220;72,37;90;78;25;24;0;0;114;103;51,82;46,82
28129;San Agustín del Guadalix;1.293;873;683;78,24;245;192;127;28;52;11;325;330;47,58;48,32
28130;San Fernando de Henares;12.904;8.553;6.346;74,2;1.266;1.964;2.425;156;79;91;1.501;4.480;23,65;70,60
28131;San Lorenzo de El Escorial;8.710;6.407;4.640;72,42;1.738;1.798;257;268;344;56;2.350;2.111;50,65;45,50
28132;San Martín de la Vega;4.447;3.077;2.601;84,53;668;1.403;305;49;90;51;807;1.759;31,03;67,63
28133;San Martín de Valdeiglesias;4.827;2.850;2.663;93,44;1.154;798;223;177;209;39;1.540;1.060;57,83;39,80
28134;San Sebastián de los Reyes;31.354;18.848;13.781;73,12;2.822;6.536;2.518;539;205;433;3.566;9.487;25,88;68,84
28135;Santa María de la Alameda;809;619;296;47,82;153;108;13;3;4;2;160;123;54,05;41,55
28136;Santorcaz;526;378;329;87,04;178;107;20;8;8;2;194;129;58,97;39,21
28137;Los Santos de la Humosa;944;653;531;81,32;267;205;32;19;8;0;294;237;55,37;44,63
28138;La Serna del Monte;83;61;44;72,13;32;3;3;1;2;2;35;8;79,55;18,18
28140;Serranillos del Valle;354;248;209;84,27;141;34;9;13;1;1;155;44;74,16;21,05
28141;Sevilla la Nueva;737;492;264;53,66;139;55;37;18;10;0;167;92;63,26;34,85
28143;Somosierra;123;110;74;67,27;59;6;2;2;2;0;63;8;85,14;10,81
28144;Soto del Real;1.094;700;567;81;243;171;36;58;26;5;327;212;57,67;37,39
28145;Talamanca de Jarama;742;549;458;83,42;218;133;25;52;4;9;274;167;59,83;36,46
28146;Tielmes;1.831;1.250;1.081;86,48;545;209;130;22;136;2;703;341;65,03;31,54
28147;Titulcia;825;605;509;84,13;196;251;17;11;14;5;221;273;43,42;53,63
28148;Torrejón de Ardoz;54.702;33.384;23.130;69,28;5.609;10.575;4.302;683;287;464;6.579;15.341;28,44;66,33
28149;Torrejón de la Calzada;556;334;251;75,15;108;77;22;8;20;1;136;100;54,18;39,84
28150;Torrejón de Velasco;1.266;941;737;78,32;388;164;94;50;10;8;448;266;60,79;36,09
28151;Torrelaguna;2.484;1.827;1.375;75,26;523;390;120;55;192;14;770;524;56;38,11
28152;Torrelodones;2.531;1.654;1.483;89,66;592;128;265;70;60;10;722;403;48,69;27,17
28153;Torremocha de Jarama;148;119;92;77,31;71;11;2;0;5;1;76;14;82,61;15,22
28154;Torres de la Alameda;2.424;1.591;1.274;80,08;252;623;171;26;91;33;369;827;28,96;64,91
28155;Valdaracete;887;662;532;80,36;221;156;19;7;22;2;250;177;46,99;33,27
28156;Valdeavero;543;367;278;75,75;80;117;13;42;23;0;145;130;52,16;46,76
28157;Valdelaguna;643;383;379;98,96;220;90;28;20;11;3;251;121;66,23;31,93
28158;Valdemanco;433;319;158;49,53;119;18;4;3;1;2;123;24;77,85;15,19
28159;Valdemaqueda;396;240;199;82,92;93;42;21;18;10;0;121;63;60,8;31,66
28160;Valdemorillo;1.787;1.284;1.030;80,22;473;276;136;82;17;12;572;424;55,53;41,17
28161;Valdemoro;10.396;5.950;4.109;69,06;1.310;1.481;443;337;315;38;1.962;1.962;47,75;47,75
