INE_NUM;municipio;población;total_censo;total_votantes;participacion;PP;PSOE;VOX;CIUDADANOS;PODEMOS;suma_derecha;suma_izquierda;porcentaje_derecha;porcentaje_izquierda
28123;Rivas-Vaciamadrid;85.893;61.102;52.177;85,39;4.771;14.718;5.584;11.467;13.580;21.822;28.298;41,82;54,23
28124;Robledillo de la Jara;87;59;52;88,14;13;11;5;15;8;33;19;63,46;36,54
28125;Robledo de Chavela;4.159;3.216;2.459;76,46;503;534;544;435;341;1.482;875;60,27;35,58
28126;Robregordo;48;47;35;74,47;8;12;6;2;4;16;16;45,71;45,71
28127;Las Rozas de Madrid;95.550;66.439;56.199;84,59;13.039;10.178;10.837;15.338;5.141;39.214;15.319;69,78;27,26
28128;Rozas de Puerto Real;527;445;352;79,10;82;116;45;61;38;188;154;53,41;43,75
28129;San Agustín del Guadalix;13.273;8.577;6.925;80,74;1.197;1.553;1.165;1.848;873;4.210;2.426;60,79;35,03
28130;San Fernando de Henares;39.466;28.508;23.566;82,66;2.608;7.480;2.641;5.065;4.492;10.314;11.972;43,77;50,80
28131;San Lorenzo de El Escorial;18.088;13.432;10.500;78,17;2.048;2.482;1.830;2.120;1.586;5.998;4.068;57,12;38,74
28132;San Martín de la Vega;18.784;12.068;9.067;75,13;1.068;2.808;1.582;1.663;1.480;4.313;4.288;47,57;47,29
28133;San Martín de Valdeiglesias;8.318;6.116;4.581;74,90;966;1.298;788;704;601;2.458;1.899;53,66;41,45
28134;San Sebastián de los Reyes;87.724;63.353;51.185;80,79;7.992;13.704;6.905;12.399;8.133;27.296;21.837;53,33;42,66
28135;Santa María de la Alameda;1.182;985;762;77,36;168;169;148;115;138;431;307;56,56;40,29
28136;Santorcaz;850;680;569;83,68;119;162;125;91;62;335;224;58,88;39,37
28137;Los Santos de la Humosa;2.542;1.744;1.385;79,42;215;348;308;257;185;780;533;56,32;38,48
28138;La Serna del Monte;74;63;49;77,78;13;7;5;12;12;30;19;61,22;38,78
28140;Serranillos del Valle;4.066;3.139;2.547;81,14;414;522;613;499;381;1.526;903;59,91;35,45
28141;Sevilla la Nueva;9.095;6.245;4.943;79,15;826;1.002;967;1.191;715;2.984;1.717;60,37;34,74
28143;Somosierra;80;77;62;80,52;16;16;7;15;7;38;23;61,29;37,10
28144;Soto del Real;8.694;6.426;5.274;82,07;1.000;1.273;959;1.118;713;3.077;1.986;58,34;37,66
28145;Talamanca de Jarama;3.725;2.640;2.014;76,29;278;595;314;413;317;1.005;912;49,90;45,28
28146;Tielmes;2.604;1.792;1.308;72,99;298;419;217;204;144;719;563;54,97;43,04
28147;Titulcia;1.304;991;779;78,61;135;238;148;109;113;392;351;50,32;45,06
28148;Torrejón de Ardoz;129.729;88.648;70.218;79,21;10.894;20.068;8.648;15.701;11.637;35.243;31.705;50,19;45,15
28149;Torrejón de la Calzada;8.582;6.173;5.089;82,44;689;1.183;996;1.239;770;2.924;1.953;57,46;38,38
28150;Torrejón de Velasco;4.298;3.187;2.640;82,84;507;512;562;534;415;1.603;927;60,72;35,11
28151;Torrelaguna;4.724;3.251;2.483;76,38;401;718;382;537;353;1.320;1.071;53,16;43,13
28152;Torrelodones;23.361;16.838;14.205;84,36;3.033;2.523;2.940;3.771;1.512;9.744;4.035;68,60;28,41
28153;Torremocha de Jarama;975;795;566;71,19;68;143;69;86;174;223;317;39,40;56,01
28154;Torres de la Alameda;7.760;5.525;4.283;77,52;681;1.275;753;823;568;2.257;1.843;52,70;43,03
28155;Valdaracete;626;485;414;85,36;88;178;51;59;32;198;210;47,83;50,72
28156;Valdeavero;1.510;1.084;885;81,64;146;233;162;174;126;482;359;54,46;40,56
28157;Valdelaguna;903;682;530;77,71;118;139;110;85;53;313;192;59,06;36,23
