INE_NUM;municipio;población;total_censo;total_votantes;participacion;PP;PSOE;IU;suma_derecha;suma_izquierda;porcentaje_derecha;porcentaje_izquierda
28161;Valdemoro;23146;21057;15015;71,31;8579;4532;1023;8579;5555;57,14;37
28162;Valdeolmos-Alalpardo;1661;1372;1094;79,74;672;295;73;672;368;61,43;33,64
28163;Valdepiélagos;310;274;208;75,91;118;75;8;118;83;56,73;39,9
28164;Valdetorres de Jarama;1738;1553;1162;74,82;637;392;67;637;459;54,82;39,5
28165;Valdilecha;1833;1431;1147;80,15;678;419;30;678;449;59,11;39,15
28166;Valverde de Alcalá;266;255;203;79,61;96;93;8;96;101;47,29;49,75
28167;Velilla de San Antonio;5137;5100;3749;73,51;1639;1455;453;1639;1908;43,72;50,89
28168;El Vellón;1072;915;699;76,39;414;246;14;414;260;59,23;37,2
28169;Venturada;639;608;470;77,3;308;104;35;308;139;65,53;29,57
28170;Villaconejos;2850;2375;1398;58,86;606;525;224;606;749;43,35;53,58
28171;Villa del Prado;3809;3131;2282;72,88;1407;729;59;1407;788;61,66;34,53
28172;Villalbilla;3524;3776;2962;78,44;1893;730;175;1893;905;63,91;30,55
28173;Villamanrique de Tajo;602;481;401;83,37;198;178;10;198;188;49,38;46,88
28174;Villamanta;1485;1233;943;76,48;634;255;20;634;275;67,23;29,16
28175;Villamantilla;345;288;247;85,76;171;57;8;171;65;69,23;26,32
28176;Villanueva de la Cañada;9124;7249;5573;76,88;3971;1057;255;3971;1312;71,25;23,54
28177;Villanueva del Pardillo;3412;3091;2381;77,03;1297;776;142;1297;918;54,47;38,56
28178;Villanueva de Perales;430;407;333;81,82;194;107;26;194;133;58,26;39,94
28179;Villar del Olmo;1168;1043;732;70,18;463;170;60;463;230;63,25;31,42
28180;Villarejo de Salvanés;5435;4405;3452;78,37;1535;1626;185;1535;1811;44,47;52,46
28181;Villaviciosa de Odón;17853;15776;12107;76,74;7981;2656;763;7981;3419;65,92;28,24
28182;Villavieja del Lozoya;172;163;125;76,69;66;49;5;66;54;52,8;43,2
28183;Zarzalejo;1028;826;597;72,28;310;210;49;310;259;51,93;43,38
28901;Lozoyuela-Navas-Sieteiglesias;628;552;419;75,91;239;154;9;239;163;57,04;38,9
28902;Puentes Viejas;412;383;256;66,84;179;65;10;179;75;69,92;29,3
28903;Tres Cantos;30970;24692;19298;78,15;10597;5343;2143;10597;7486;54,91;38,79
