INE_NUM;municipio;población;total_censo;total_votantes;participación;PP;PSOE;IU;suma_derecha;suma_izquierda;porcentaje_derecha;porcentaje_izquierda
28035;Carabaña;1120;931;803;86,25;360;328;106;360;434;44,83;54,05
28036;Casarrubuelos;590;476;408;85,71;216;99;87;216;186;52,94;45,59
28037;Cenicientos;1813;1536;1275;83,01;531;634;99;531;733;41,65;57,49
28038;Cercedilla;4572;3760;3193;84,92;1425;1283;385;1425;1668;44,63;52,24
28039;Cervera de Buitrago;92;87;71;81,61;29;30;8;29;38;40,85;53,52
28040;Ciempozuelos;11758;9804;6729;68,64;2809;2718;1049;2809;3767;41,74;55,98
28041;Cobeña;1422;1433;1159;80,88;582;395;148;582;543;50,22;46,85
28042;Colmenar del Arroyo;682;642;481;74,92;314;118;39;314;157;65,28;32,64
28043;Colmenar de Oreja;5364;4237;3296;77,79;1418;1617;211;1418;1828;43,02;55,46
28044;Colmenarejo;2909;2511;2133;84,95;1075;693;290;1075;983;50,40;46,09
28045;Colmenar Viejo;27172;21762;17304;79,51;8307;5771;2626;8307;8397;48,01;48,53
28046;Collado Mediano;3070;2658;2214;83,30;1213;648;272;1213;920;54,79;41,55
28047;Collado Villalba;33633;27046;21502;79,50;9986;7103;3713;9986;10816;46,44;50,30
28048;Corpa;359;311;294;94,53;135;130;26;135;156;45,92;53,06
28049;Coslada;79240;56231;45131;80,26;15262;16738;11716;15262;28454;33,82;63,05
28050;Cubas de la Sagra;1090;911;723;79,36;465;178;65;465;243;64,32;33,61
28051;Chapinería;1057;925;763;82,49;418;236;86;418;322;54,78;42,20
28052;Chinchón;4118;3393;2703;79,66;1583;901;159;1583;1060;58,56;39,22
28053;Daganzo de Arriba;1950;1591;1331;83,66;603;472;206;603;678;45,30;50,94
28054;El Escorial;8709;6800;5486;80,68;2876;1659;762;2876;2421;52,42;44,13
28055;Estremera;1102;882;773;87,64;402;327;38;402;365;52,01;47,22
28056;Fresnedillas de la Oliva;546;440;349;79,32;226;79;32;226;111;64,76;31,81
28057;Fresno de Torote;437;382;317;82,98;152;83;67;152;150;47,95;47,32
28058;Fuenlabrada;158212;110843;86999;78,49;30602;35383;18388;30602;53771;35,18;61,81
28059;Fuente el Saz de Jarama;2973;2299;1889;82,17;981;639;222;981;861;51,93;45,58
28060;Fuentidueña de Tajo;1349;1113;992;89,13;317;538;120;317;658;31,96;66,33
28061;Galapagar;13772;12269;9919;80,85;5513;2843;1263;5513;4106;55,58;41,40
28062;Garganta de los Montes;321;292;219;75,00;136;57;15;136;72;62,10;32,88
28063;Gargantilla del Lozoya y Pinilla de Buitrago;212;200;157;78,50;99;39;15;99;54;63,06;34,39
28064;Gascones;110;90;78;86,67;51;26;0;51;26;65,38;33,33
28065;Getafe;144368;115932;95676;82,53;33708;34746;23922;33708;58668;35,23;61,32
28066;Griñón;3357;2767;2269;82,00;1578;419;203;1578;622;69,55;27,41
28067;Guadalix de la Sierra;2152;1870;1608;85,99;743;641;183;743;824;46,21;51,24
28068;Guadarrama;7477;6326;4959;78,39;2765;1632;448;2765;2080;55,76;41,94
28069;La Hiruela;54;57;39;68,42;31;4;4;31;8;79,49;20,51
28070;Horcajo de la Sierra-Aoslos;117;119;89;74,79;68;14;7;68;21;76,40;23,60
28071;Horcajuelo de la Sierra;83;73;59;80,82;31;19;8;31;27;52,54;45,76
28072;Hoyo de Manzanares;4273;3428;2816;82,15;1812;597;308;1812;905;64,35;32,14
28073;Humanes de Madrid;8803;6141;4459;72,61;1819;1769;711;1819;2480;40,79;55,62
28074;Leganés;178162;140511;114796;81,70;40113;44042;26510;40113;70552;34,94;61,46
28075;Loeches;2446;2018;1759;87,17;837;675;207;837;882;47,58;50,14
28076;Lozoya;436;400;338;84,50;179;128;23;179;151;52,96;44,67
28078;Madarcos;30;28;24;85,71;16;6;2;16;8;66,67;33,33
28079;Madrid;3041101;2500665;2006173;80,23;1054858;584974;302880;1054858;887854;52,58;44,26
28080;Majadahonda;37414;28962;24251;83,73;15427;5091;2700;15427;7791;63,61;32,13
28082;Manzanares el Real;2751;2404;1946;80,95;1143;507;256;1143;763;58,74;39,21
28083;Meco;3917;2756;2063;74,85;839;776;394;839;1170;40,67;56,71
28084;Mejorada del Campo;15072;10572;8257;78,10;2702;2982;2358;2702;5340;32,72;64,67
28085;Miraflores de la Sierra;3143;2573;2185;84,92;1103;830;189;1103;1019;50,48;46,64
28086;El Molar;3293;2602;2017;77,52;1091;709;180;1091;889;54,09;44,08
28087;Los Molinos;2767;2205;1788;81,09;1022;589;123;1022;712;57,16;39,82
28088;Montejo de la Sierra;268;245;189;77,14;78;85;23;78;108;41,27;57,14
28089;Moraleja de Enmedio;1777;1507;1232;81,75;705;359;135;705;494;57,22;40,10
28090;Moralzarzal;2901;2524;2082;82,49;1084;679;257;1084;936;52,07;44,96
28091;Morata de Tajuña;5264;4220;3407;80,73;1597;1371;375;1597;1746;46,87;51,25
28092;Móstoles;199141;148105;116363;78,57;49217;40390;22999;49217;63389;42,30;54,48
28093;Navacerrada;1632;1397;1172;83,89;700;347;91;700;438;59,73;37,37
28094;Navalafuente;386;314;260;82,80;162;57;33;162;90;62,31;34,62
28095;Navalagamella;732;649;547;84,28;310;154;70;310;224;56,67;40,95
28096;Navalcarnero;11113;8875;6883;77,55;3573;2438;675;3573;3113;51,91;45,23
28097;Navarredonda y San Mamés;107;102;80;78,43;18;41;18;18;59;22,50;73,75
28099;Navas del Rey;1223;1140;894;78,42;550;242;89;550;331;61,52;37,02
28100;Nuevo Baztán;1460;1480;1195;80,74;660;283;218;660;501;55,23;41,92
28101;Olmeda de las Fuentes;144;129;107;82,95;70;20;14;70;34;65,42;31,78
28102;Orusco de Tajuña;612;577;537;93,07;177;289;64;177;353;32,96;65,74
28104;Paracuellos de Jarama;5361;4095;3250;79,37;1649;923;561;1649;1484;50,74;45,66
28106;Parla;72145;52804;40910;77,48;12697;16710;10198;12697;26908;31,04;65,77
28107;Patones;348;281;232;82,56;89;120;17;89;137;38,36;59,05
28108;Pedrezuela;950;861;740;85,95;431;211;81;431;292;58,24;39,46
28109;Pelayos de la Presa;1113;855;628;73,45;393;175;43;393;218;62,58;34,71
28110;Perales de Tajuña;2056;1642;1434;87,33;717;605;81;717;686;50,00;47,84
28111;Pezuela de las Torres;474;434;361;83,18;196;131;28;196;159;54,29;44,04
28112;Pinilla del Valle;169;142;124;87,32;68;49;4;68;53;54,84;42,74
28113;Pinto;24363;19052;15144;79,49;5748;5767;3136;5748;8903;37,96;58,79
28114;Piñuécar-Gandullas;145;145;110;75,86;57;39;13;57;52;51,82;47,27
28115;Pozuelo de Alarcón;56149;45258;36791;81,29;24637;7343;3516;24637;10859;66,96;29,52
28116;Pozuelo del Rey;236;187;166;88,77;78;77;11;78;88;46,99;53,01
28117;Prádena del Rincón;112;96;76;79,17;57;16;2;57;18;75,00;23,68
28118;Puebla de la Sierra;53;72;59;81,94;28;22;9;28;31;47,46;52,54
28119;Quijorna;745;650;569;87,54;345;155;58;345;213;60,63;37,43
28120;Rascafría;1401;1237;998;80,68;469;409;88;469;497;46,99;49,80
28121;Redueña;142;127;105;82,68;40;53;12;40;65;38,10;61,90
28122;Ribatejada;295;252;198;78,57;108;67;17;108;84;54,55;42,42
28123;Rivas-Vaciamadrid;19535;15107;12618;83,52;4036;4587;3478;4036;8065;31,99;63,92
28124;Robledillo de la Jara;68;96;74;77,08;31;23;20;31;43;41,89;58,11
28125;Robledo de Chavela;1985;1710;1388;81,17;817;430;103;817;533;58,86;38,40
28126;Robregordo;93;88;73;82,95;23;46;2;23;48;31,51;65,75
28127;Las Rozas de Madrid;44248;33410;27735;83,01;17505;6028;3077;17505;9105;63,12;32,83
28128;Rozas de Puerto Real;334;297;253;85,19;112;116;14;112;130;44,27;51,38
28129;San Agustín del Guadalix;4224;3414;2720;79,67;1461;793;375;1461;1168;53,71;42,94
28130;San Fernando de Henares;28314;21789;17434;80,01;5716;6395;4790;5716;11185;32,79;64,16
28131;San Lorenzo de El Escorial;10276;8408;6750;80,28;3746;2013;714;3746;2727;55,50;40,40
28132;San Martín de la Vega;8089;6879;5472;79,55;2169;2377;798;2169;3175;39,64;58,02
28133;San Martín de Valdeiglesias;5713;4542;3793;83,51;1745;1541;412;1745;1953;46,01;51,49
28134;San Sebastián de los Reyes;56921;43647;34798;79,73;14475;11955;7124;14475;19079;41,60;54,83
28135;Santa María de la Alameda;698;600;461;76,83;253;166;21;253;187;54,88;40,56
28136;Santorcaz;540;443;389;87,81;207;133;45;207;178;53,21;45,76
28137;Los Santos de la Humosa;966;776;698;89,95;328;304;61;328;365;46,99;52,29
28138;La Serna del Monte;93;82;72;87,80;48;9;9;48;18;66,67;25,00
28140;Serranillos del Valle;625;573;469;81,85;296;124;40;296;164;63,11;34,97
28141;Sevilla la Nueva;1922;1781;1418;79,62;761;405;199;761;604;53,67;42,60
28143;Somosierra;104;97;85;87,63;43;37;4;43;41;50,59;48,24
28144;Soto del Real;3245;2894;2324;80,30;1427;491;310;1427;801;61,40;34,47
28145;Talamanca de Jarama;1222;1025;840;81,95;362;342;106;362;448;43,10;53,33
28146;Tielmes;2008;1504;1262;83,91;620;552;70;620;622;49,13;49,29
28147;Titulcia;886;751;626;83,36;300;275;42;300;317;47,92;50,64
28148;Torrejón de Ardoz;87219;65374;51645;79,00;20530;18663;10627;20530;29290;39,75;56,71
28149;Torrejón de la Calzada;2192;2069;1728;83,52;923;508;241;923;749;53,41;43,34
28150;Torrejón de Velasco;1574;1262;1088;86,21;638;309;121;638;430;58,64;39,52
28151;Torrelaguna;2624;2254;1775;78,75;831;740;133;831;873;46,82;49,18
28152;Torrelodones;9302;7563;6270;82,90;4078;1313;682;4078;1995;65,04;31,82
28153;Torremocha de Jarama;278;225;182;80,89;88;68;23;88;91;48,35;50,00
28154;Torres de la Alameda;3581;2847;2409;84,62;952;1122;264;952;1386;39,52;57,53
28155;Valdaracete;690;575;488;84,87;167;305;10;167;315;34,22;64,55
28156;Valdeavero;517;445;379;85,17;199;132;36;199;168;52,51;44,33
28157;Valdelaguna;538;470;391;83,19;224;137;15;224;152;57,29;38,87
28158;Valdemanco;501;406;303;74,63;229;48;20;229;68;75,58;22,44
28159;Valdemaqueda;525;421;354;84,09;182;148;15;182;163;51,41;46,05
28160;Valdemorillo;3696;3073;2468;80,31;1354;785;260;1354;1045;54,86;42,34
28161;Valdemoro;20125;15947;12713;79,72;6761;3833;1746;6761;5579;53,18;43,88
28162;Valdeolmos-Alalpardo;1397;1169;985;84,26;572;267;119;572;386;58,07;39,19
28163;Valdepiélagos;329;269;236;87,73;142;72;17;142;89;60,17;37,71
28164;Valdetorres de Jarama;1376;1223;1062;86,84;535;379;114;535;493;50,38;46,42
28165;Valdilecha;1792;1387;1189;85,72;643;457;69;643;526;54,08;44,24
28166;Valverde de Alcalá;276;246;220;89,43;98;96;23;98;119;44,55;54,09
28167;Velilla de San Antonio;3342;2970;2465;83,00;932;997;491;932;1488;37,81;60,37
28168;El Vellón;958;834;697;83,57;403;241;35;403;276;57,82;39,60
28169;Venturada;426;437;362;82,84;239;76;42;239;118;66,02;32,60
28170;Villaconejos;2895;2359;1829;77,53;613;650;531;613;1181;33,52;64,57
28171;Villa del Prado;3543;2827;2259;79,91;1308;741;147;1308;888;57,90;39,31
28172;Villalbilla;2681;2438;2051;84,13;1284;522;201;1284;723;62,60;35,25
28173;Villamanrique de Tajo;597;466;414;88,84;176;199;31;176;230;42,51;55,56
28174;Villamanta;1379;1074;890;82,87;543;276;51;543;327;61,01;36,74
28175;Villamantilla;321;269;242;89,96;155;60;22;155;82;64,05;33,88
28176;Villanueva de la Cañada;6035;5048;4127;81,76;3027;656;329;3027;985;73,35;23,87
28177;Villanueva del Pardillo;2417;1884;1575;83,60;717;617;183;717;800;45,52;50,79
28178;Villanueva de Perales;401;382;305;79,84;163;116;18;163;134;53,44;43,93
28179;Villar del Olmo;730;705;583;82,70;349;148;68;349;216;59,86;37,05
28180;Villarejo de Salvanés;5195;4192;3508;83,68;1494;1549;399;1494;1948;42,59;55,53
28181;Villaviciosa de Odón;15954;13063;10820;82,83;7095;2257;1123;7095;3380;65,57;31,24
28182;Villavieja del Lozoya;167;159;128;80,50;48;59;17;48;76;37,50;59,38
28183;Zarzalejo;922;824;609;73,91;334;180;77;334;257;54,84;42,20
28901;Lozoyuela-Navas-Sieteiglesias;646;526;416;79,09;223;161;19;223;180;53,61;43,27
28902;Puentes Viejas;420;387;264;68,22;143;88;22;143;110;54,17;41,67
28903;Tres Cantos;22301;18410;15149;82,29;7986;3570;2926;7986;6496;52,72;42,88
