INE_NUM;municipio;población;total_censo;total_votantes;participación;PP;PSOE;IU;suma_derecha;suma_izquierda;porcentaje_derecha;porcentaje_izquierda
28001;La Acebeda;54;50;36;72,00;21;12;3;21;15;58,33;41,67
28002;Ajalvir;1538;1304;956;73,31;536;308;91;536;399;56,07;41,74
28003;Alameda del Valle;171;145;116;80,00;66;35;4;66;39;56,90;33,62
28004;El Álamo;3448;2922;2501;85,59;1402;872;183;1402;1055;56,06;42,18
28005;Alcalá de Henares;166250;127813;100862;78,91;40786;36517;20194;40786;56711;40,44;56,23
28006;Alcobendas;83990;63287;51855;81,94;24919;16695;8273;24919;24968;48,06;48,15
28007;Alcorcón;142165;124836;95493;76,49;43856;31434;16775;43856;48209;45,93;50,48
28008;Aldea del Fresno;1238;971;813;83,73;491;255;47;491;302;60,39;37,15
28009;Algete;12063;8933;7269;81,37;3746;2209;1065;3746;3274;51,53;45,04
28010;Alpedrete;4332;3785;3149;83,20;1763;878;426;1763;1304;55,99;41,41
28011;Ambite;285;280;228;81,43;125;56;40;125;96;54,82;42,11
28012;Anchuelo;557;474;418;88,19;228;145;35;228;180;54,55;43,06
28013;Aranjuez;38906;31761;25424;80,05;11646;9376;3732;11646;13108;45,81;51,56
28014;Arganda del Rey;28466;22135;17419;78,69;7788;6780;2381;7788;9161;44,71;52,59
28015;Arroyomolinos;1783;1757;1528;86,97;770;498;217;770;715;50,39;46,79
28016;El Atazar;92;92;76;82,61;28;36;6;28;42;36,84;55,26
28017;Batres;537;510;423;82,94;213;126;72;213;198;50,35;46,81
28018;Becerril de la Sierra;2385;1968;1715;87,14;906;632;146;906;778;52,83;45,36
28019;Belmonte de Tajo;1173;931;799;85,82;306;403;66;306;469;38,30;58,70
28020;Berzosa del Lozoya;89;105;88;83,81;39;24;22;39;46;44,32;52,27
28021;El Berrueco;302;256;224;87,50;149;57;18;149;75;66,52;33,48
28022;Boadilla del Monte;18001;14082;11494;81,62;7956;2096;1023;7956;3119;69,22;27,14
28023;El Boalo;2075;1874;1582;84,42;888;452;192;888;644;56,13;40,71
28024;Braojos;140;109;91;83,49;67;14;6;67;20;73,63;21,98
28025;Brea de Tajo;486;404;339;83,91;206;109;20;206;129;60,77;38,05
28026;Brunete;2964;2710;2188;80,74;1286;557;285;1286;842;58,78;38,48
28027;Buitrago del Lozoya;1334;1043;854;81,88;478;284;67;478;351;55,97;41,10
28028;Bustarviejo;1313;1132;915;80,83;539;219;133;539;352;58,91;38,47
28029;Cabanillas de la Sierra;371;346;285;82,37;172;87;20;172;107;60,35;37,54
28030;La Cabrera;1186;1004;846;84,26;516;242;67;516;309;60,99;36,52
28031;Cadalso de los Vidrios;2154;1742;1454;83,47;595;712;130;595;842;40,92;57,91
28032;Camarma de Esteruelas;1868;1616;1350;83,54;523;515;277;523;792;38,74;58,67
28033;Campo Real;2281;1908;1590;83,33;878;608;89;878;697;55,22;43,84
28034;Canencia;444;397;332;83,63;187;116;22;187;138;56,33;41,57
