NATLEVNAME;INE_NUM;part_num;derecha_num;izquierda_num;densidad_2023;clase_densidad;dist_madrid_km;corona_madrid;renta_2023;Renta_2023_Final_ €;clase_renta
Municipio;28166;74,49;54,79;43;386.900.793.254.433;Muy baja;342.112.025.854.953;20-40 km;15238;15238;Baja
Municipio;28167;74,72;49,51;47;887.777.430.838.758;Intermedia;21.841.996.984.859;20-40 km;15398;15398;Baja
Municipio;28168;69,45;57,41;39;633.799.135.089.419;Baja;356.027.676.768.004;20-40 km;14195;14195;Baja
Municipio;28169;80,29;65,25;31;238.990.189.155.502;Intermedia;373.586.722.610.463;20-40 km;22409;22409;Alta
Municipio;28170;69,83;56,96;40;103.808.999.677.413;Baja;426.077.791.794.431;40-60 km;11595;11595;Muy baja
Municipio;28171;68,47;60,29;37;91.734.145.380.029;Baja;559.183.869.624.257;40-60 km;12536;12536;Muy baja
Municipio;28172;78,22;63,47;33;460.355.308.824.114;Intermedia;315.907.026.171.482;20-40 km;18420;18420;Media
Municipio;28173;77,39;53,3;43;255.692.425.953.436;Muy baja;575.905.973.760.609;40-60 km;12034;12034;Muy baja
Municipio;28174;71,27;62,31;34;428.890.207.893.981;Muy baja;408.905.328.409.055;40-60 km;12981;12981;Muy baja
Municipio;28175;77,93;60,81;36;65.463.605.658.443;Baja;403.465.363.599.397;40-60 km;14892;14892;Baja
Municipio;28176;78,62;73,55;24;655.722.261.403.622;Intermedia;245.705.200.884.196;20-40 km;20858;20858;Media
Municipio;28177;78,98;68,19;29;684.428.417.151.277;Intermedia;232.209.500.527.714;20-40 km;18671;18671;Media
Municipio;28178;76,07;60,82;35;515.517.267.395.765;Baja;349.817.532.902.744;20-40 km;13516;13516;Muy baja
Municipio;28179;73,36;64,2;33;798.068.480.620.176;Baja;413.992.694.678.184;40-60 km;13648;13648;Muy baja
Municipio;28180;76,32;51,06;46;640.644.140.995.218;Baja;520.783.137.594.307;40-60 km;12793;12793;Muy baja
Municipio;28181;79,76;70,74;27;412.600.657.933.868;Intermedia;234.868.940.230.633;20-40 km;22250;22250;Alta
Municipio;28182;80,74;50,25;46;122.309.823.438.986;Muy baja;624.571.946.620.366;>60 km;17205;17205;Media
Municipio;28183;73,07;42,13;54;878.222.957.967.966;Baja;418.516.151.331.891;40-60 km;12921;12921;Muy baja
Municipio;28901;72,82;51,39;45;283.839.190.065.096;Muy baja;50.472.779.963.547;40-60 km;13324;13324;Muy baja
Municipio;28902;76,51;58,14;39;118.978.651.997.219;Muy baja;580.668.927.404.377;40-60 km;15552;15552;Baja
Municipio;28903;80,95;56,28;40;132.117.000.531.859;Urbana;163.840.263.148.321;0-20 km;23133;23133;Alta
Municipio;28001;85,71;50;48;283.397.626.352.146;Muy baja;698.668.205.182.411;>60 km;16893;16893;Baja
Municipio;28002;69,69;63;33;239.963.043.195.032;Intermedia;19.450.706.482.817;0-20 km;16039;16039;Baja
Municipio;28003;85,42;56,71;38;935.998.252.395.793;Muy baja;521.378.465.018.314;40-60 km;19327;19327;Media
Municipio;28004;68,3;60,46;37;459.866.328.579.593;Intermedia;358.823.190.472.959;20-40 km;12605;12605;Muy baja
Municipio;28005;73,72;51,51;45;22.323.826.333.719;Urbana;27.895.172.420.085;20-40 km;15598;15598;Baja
Municipio;28006;74,61;58,96;38;25.863.571.100.063;Urbana;951.444.326.347.696;0-20 km;21644;21644;Alta
Municipio;28007;75,02;49,36;48;506.896.025.669.727;Muy alta;168.488.119.855.082;0-20 km;15667;15667;Baja
Municipio;28008;68,26;58,8;39;62.431.887.435.828;Baja;479.998.252.598.338;40-60 km;12649;12649;Muy baja
Municipio;28009;75,71;61,88;35;547.203.275.702.532;Intermedia;212.155.855.927.521;20-40 km;18232;18232;Media
Municipio;28010;77,52;59,8;37;118.449.763.197.384;Urbana;350.585.721.667.987;20-40 km;17829;17829;Media
Municipio;28011;73,99;57,93;39;250.968.909.788.445;Muy baja;462.293.948.941.018;40-60 km;12672;12672;Muy baja
Municipio;28012;75,45;62,99;34;626.621.292.645.451;Baja;355.810.946.921.972;20-40 km;13676;13676;Muy baja
Municipio;28013;71,26;53,59;43;316.043.539.877.871;Intermedia;522.565.947.151.416;40-60 km;14173;14173;Baja
Municipio;28014;73,45;56,48;40;716.518.941.480.559;Intermedia;286.909.949.082.614;20-40 km;13968;13968;Muy baja
