INE_NUM;Municipio;€
28001;Acebeda, La;
28002;Ajalvir;12338
28003;Alameda del Valle;13878
28004;Álamo, El;9105
28005;Alcalá de Henares;11320
28006;Alcobendas;17417
28007;Alcorcón;11917
28008;Aldea del Fresno;8770
28009;Algete;13590
28010;Alpedrete;13023
28011;Ambite;9694
28012;Anchuelo;10506
28013;Aranjuez;10611
28014;Arganda del Rey;9757
28015;Arroyomolinos;12501
28016;Atazar, El;
28017;Batres;11424
28018;Becerril de la Sierra;12606
28019;Belmonte de Tajo;9366
28020;Berzosa del Lozoya;12744
28021;Berrueco, El;10060
28022;Boadilla del Monte;19510
28023;Boalo, El;12822
28024;Braojos;10677
28025;Brea de Tajo;8526
28026;Brunete;11333
28027;Buitrago del Lozoya;10399
28028;Bustarviejo;11408
28029;Cabanillas de la Sierra;13708
28030;Cabrera, La;10566
28031;Cadalso de los Vidrios;8122
28032;Camarma de Esteruelas;10927
28033;Campo Real;9811
28034;Canencia;9898
28035;Carabaña;8989
28036;Casarrubuelos;9903
28037;Cenicientos;7789
28038;Cercedilla;11713
28039;Cervera de Buitrago;11830
28040;Ciempozuelos;9522
28041;Cobeña;14910
28042;Colmenar del Arroyo;11423
28043;Colmenar de Oreja;8244
28044;Colmenarejo;11351
28045;Colmenar Viejo;13033
28046;Collado Mediano;13399
28047;Collado Villalba;10962
28048;Corpa;10442
28049;Coslada;11138
28050;Cubas de la Sagra;10509
28051;Chapinería;9936
28052;Chinchón;8858
28053;Daganzo de Arriba;12673
28054;Escorial, El;12935
28055;Estremera;7904
28056;Fresnedillas de la Oliva;8183
28057;Fresno de Torote;11427
28058;Fuenlabrada;9400
28059;Fuente el Saz de Jarama;11027
28060;Fuentidueña de Tajo;8491
28061;Galapagar;12629
28062;Garganta de los Montes;12823
28063;Gargantilla del Lozoya y Pinilla de Buitrago;11921
28064;Gascones;12275
28065;Getafe;11729
28066;Griñón;11671
28067;Guadalix de la Sierra;10917
28068;Guadarrama;12085
28069;Hiruela, La;
28070;Horcajo de la Sierra-Aoslos;13357
28071;Horcajuelo de la Sierra;
28072;Hoyo de Manzanares;14852
28073;Humanes de Madrid;8702
28074;Leganés;10959
28075;Loeches;10401
28076;Lozoya;13664
28078;Madarcos;
28079;Madrid;15257
28080;Majadahonda;18627
28082;Manzanares el Real;12591
28083;Meco;11172
28084;Mejorada del Campo;9552
28085;Miraflores de la Sierra;11453
28086;Molar, El;9770
28087;Molinos, Los;12423
28088;Montejo de la Sierra;10195
28089;Moraleja de Enmedio;10375
28090;Moralzarzal;13318
28091;Morata de Tajuña;9020
28092;Móstoles;10499
28093;Navacerrada;13353
28094;Navalafuente;10651
28095;Navalagamella;9069
28096;Navalcarnero;10456
28097;Navarredonda y San Mamés;13341
28099;Navas del Rey;8991
28100;Nuevo Baztán;10925
28101;Olmeda de las Fuentes;13970
28102;Orusco de Tajuña;9149
28104;Paracuellos de Jarama;15260
28106;Parla;8522
28107;Patones;14012
28108;Pedrezuela;12155
28109;Pelayos de la Presa;8191
28110;Perales de Tajuña;9031
28111;Pezuela de las Torres;10100
28112;Pinilla del Valle;12118
28113;Pinto;11412
28114;Piñuécar-Gandullas;10416
28115;Pozuelo de Alarcón;23861
28116;Pozuelo del Rey;10158
28117;Prádena del Rincón;12580
28118;Puebla de la Sierra;
28119;Quijorna;10596
28120;Rascafría;11430
28121;Redueña;13307
28122;Ribatejada;10647
28123;Rivas-Vaciamadrid;13270
28124;Robledillo de la Jara;
28125;Robledo de Chavela;10986
28126;Robregordo;
28127;Rozas de Madrid, Las;18798
28128;Rozas de Puerto Real;10709
28129;San Agustín del Guadalix;14573
28130;San Fernando de Henares;10851
28131;San Lorenzo de El Escorial;12569
28132;San Martín de la Vega;8903
28133;San Martín de Valdeiglesias;8912
28134;San Sebastián de los Reyes;13737
28135;Santa María de la Alameda;10023
28136;Santorcaz;9990
28137;Santos de la Humosa, Los;10624
28138;Serna del Monte, La;
28140;Serranillos del Valle;10792
28141;Sevilla la Nueva;10797
28143;Somosierra;
28144;Soto del Real;13783
28145;Talamanca de Jarama;11309
28146;Tielmes;8916
28147;Titulcia;9801
28148;Torrejón de Ardoz;10519
28149;Torrejón de la Calzada;11054
28150;Torrejón de Velasco;9988
28151;Torrelaguna;10116
28152;Torrelodones;17844
28153;Torremocha de Jarama;13156
28154;Torres de la Alameda;9691
28155;Valdaracete;9265
28156;Valdeavero;10778
28157;Valdelaguna;9293
28158;Valdemanco;10844
28159;Valdemaqueda;8214
28160;Valdemorillo;12768
28161;Valdemoro;11003
28162;Valdeolmos-Alalpardo;13334
28163;Valdepiélagos;9987
28164;Valdetorres de Jarama;10728
28165;Valdilecha;8844
28166;Valverde de Alcalá;11459
28167;Velilla de San Antonio;10778
28168;Vellón, El;9901
28169;Venturada;17338
28170;Villaconejos;7688
28171;Villa del Prado;8758
28172;Villalbilla;13382
28173;Villamanrique de Tajo;8937
28174;Villamanta;9434
28175;Villamantilla;10779
28176;Villanueva de la Cañada;15376
28177;Villanueva del Pardillo;13293
28178;Villanueva de Perales;10797
28179;Villar del Olmo;11692
28180;Villarejo de Salvanés;9103
28181;Villaviciosa de Odón;16213
28182;Villavieja del Lozoya;11779
28183;Zarzalejo;9187
28901;Lozoyuela-Navas-Sieteiglesias;9230
28902;Puentes Viejas;12246
28903;Tres Cantos;17992
;;
;;
;;
