INE_NUM;Municipio;€
28001;Acebeda, La;
28002;Ajalvir;14269
28003;Alameda del Valle;15841
28004;Álamo, El;10382
28005;Alcalá de Henares;13086
28006;Alcobendas;18653
28007;Alcorcón;13355
28008;Aldea del Fresno;10170
28009;Algete;15761
28010;Alpedrete;14929
28011;Ambite;11016
28012;Anchuelo;11897
28013;Aranjuez;12028
28014;Arganda del Rey;11598
28015;Arroyomolinos;14233
28016;Atazar, El;
28017;Batres;14199
28018;Becerril de la Sierra;14169
28019;Belmonte de Tajo;10736
28020;Berzosa del Lozoya;15457
28021;Berrueco, El;12309
28022;Boadilla del Monte;21976
28023;Boalo, El;14461
28024;Braojos;13391
28025;Brea de Tajo;10187
28026;Brunete;13029
28027;Buitrago del Lozoya;11626
28028;Bustarviejo;12905
28029;Cabanillas de la Sierra;14877
28030;Cabrera, La;12337
28031;Cadalso de los Vidrios;9494
28032;Camarma de Esteruelas;12703
28033;Campo Real;11501
28034;Canencia;11405
28035;Carabaña;10218
28036;Casarrubuelos;11556
28037;Cenicientos;9296
28038;Cercedilla;13230
28039;Cervera de Buitrago;13677
28040;Ciempozuelos;10847
28041;Cobeña;16447
28042;Colmenar del Arroyo;12519
28043;Colmenar de Oreja;10036
28044;Colmenarejo;13406
28045;Colmenar Viejo;14898
28046;Collado Mediano;14994
28047;Collado Villalba;12404
28048;Corpa;11001
28049;Coslada;13112
28050;Cubas de la Sagra;12225
28051;Chapinería;11534
28052;Chinchón;10439
28053;Daganzo de Arriba;14598
28054;Escorial, El;14541
28055;Estremera;9905
28056;Fresnedillas de la Oliva;10079
28057;Fresno de Torote;12640
28058;Fuenlabrada;11099
28059;Fuente el Saz de Jarama;12055
28060;Fuentidueña de Tajo;10369
28061;Galapagar;14302
28062;Garganta de los Montes;14233
28063;Gargantilla del Lozoya y Pinilla de Buitrago;14305
28064;Gascones;13742
28065;Getafe;13326
28066;Griñón;13836
28067;Guadalix de la Sierra;12522
28068;Guadarrama;13596
28069;Hiruela, La;
28070;Horcajo de la Sierra-Aoslos;15479
28071;Horcajuelo de la Sierra;
28072;Hoyo de Manzanares;15876
28073;Humanes de Madrid;10211
28074;Leganés;12462
28075;Loeches;12470
28076;Lozoya;13712
28078;Madarcos;
28079;Madrid;17030
28080;Majadahonda;20652
28082;Manzanares el Real;14376
28083;Meco;13079
28084;Mejorada del Campo;11174
28085;Miraflores de la Sierra;13194
28086;Molar, El;10842
28087;Molinos, Los;14391
28088;Montejo de la Sierra;11972
28089;Moraleja de Enmedio;12136
28090;Moralzarzal;15106
28091;Morata de Tajuña;10474
28092;Móstoles;11980
28093;Navacerrada;15152
28094;Navalafuente;12131
28095;Navalagamella;10412
28096;Navalcarnero;11867
28097;Navarredonda y San Mamés;18682
28099;Navas del Rey;10584
28100;Nuevo Baztán;12714
28101;Olmeda de las Fuentes;16515
28102;Orusco de Tajuña;10168
28104;Paracuellos de Jarama;17295
28106;Parla;9717
28107;Patones;13713
28108;Pedrezuela;13344
28109;Pelayos de la Presa;9608
28110;Perales de Tajuña;10491
28111;Pezuela de las Torres;11721
28112;Pinilla del Valle;13327
28113;Pinto;13013
28114;Piñuécar-Gandullas;12370
28115;Pozuelo de Alarcón;26367
28116;Pozuelo del Rey;11196
28117;Prádena del Rincón;14929
28118;Puebla de la Sierra; . 
28119;Quijorna;12051
28120;Rascafría;13392
28121;Redueña;13421
28122;Ribatejada;12395
28123;Rivas-Vaciamadrid;15261
28124;Robledillo de la Jara;
28125;Robledo de Chavela;12429
28126;Robregordo;
28127;Rozas de Madrid, Las;20643
28128;Rozas de Puerto Real;12143
28129;San Agustín del Guadalix;16190
28130;San Fernando de Henares;12634
28131;San Lorenzo de El Escorial;13759
28132;San Martín de la Vega;10488
28133;San Martín de Valdeiglesias;10343
28134;San Sebastián de los Reyes;15636
28135;Santa María de la Alameda;10955
28136;Santorcaz;12069
28137;Santos de la Humosa, Los;11473
28138;Serna del Monte, La;
28140;Serranillos del Valle;12773
28141;Sevilla la Nueva;12606
28143;Somosierra;
28144;Soto del Real;15884
28145;Talamanca de Jarama;12456
28146;Tielmes;10255
28147;Titulcia;11139
28148;Torrejón de Ardoz;12165
28149;Torrejón de la Calzada;12773
28150;Torrejón de Velasco;11771
28151;Torrelaguna;12027
28152;Torrelodones;20810
28153;Torremocha de Jarama;14326
28154;Torres de la Alameda;11413
28155;Valdaracete;10818
28156;Valdeavero;11951
28157;Valdelaguna;10861
28158;Valdemanco;11733
28159;Valdemaqueda;10198
28160;Valdemorillo;14267
28161;Valdemoro;12628
28162;Valdeolmos-Alalpardo;14784
28163;Valdepiélagos;11847
28164;Valdetorres de Jarama;12429
28165;Valdilecha;10188
28166;Valverde de Alcalá;12820
28167;Velilla de San Antonio;12493
28168;Vellón, El;11667
28169;Venturada;19830
28170;Villaconejos;9406
28171;Villa del Prado;10294
28172;Villalbilla;15610
28173;Villamanrique de Tajo;9974
28174;Villamanta;10990
28175;Villamantilla;11753
28176;Villanueva de la Cañada;17702
28177;Villanueva del Pardillo;15380
28178;Villanueva de Perales;11439
28179;Villar del Olmo;13266
28180;Villarejo de Salvanés;10843
28181;Villaviciosa de Odón;18499
28182;Villavieja del Lozoya;14225
28183;Zarzalejo;10503
28901;Lozoyuela-Navas-Sieteiglesias;10546
28902;Puentes Viejas;13504
28903;Tres Cantos;19686
;;
;;
;;
